Classici greci,,,,,,,Saggi,,,,,,,
Anno,Autore,Titolo,Genere,Status,Voto (1-10),,Anno,Autore,Titolo,Genere,Status,Voto (1-10),,
365-360 a.C.,Platone,Teeteto,Filosofia,da comprare,BUR,,,,,,,,,
365-361 a.C.,Platone,Sofista,Filosofia,Non-letto,,,,,,,,,,
364-360 a.C.,Platone,Politico,Filosofia,Non-letto,,,,,,,,,,
360-357 a.C.,Platone,Filebo,Filosofia,da comprare,,,,,,,,,,
357-355 a.C.,Platone,Fedro,Filosofia,da comprare,BUR,,,,,,,,,
355-353 a.C.,Platone,Timeo,Filosofia,Non-letto,,,,,,,,,,
355-353 a.C.,Platone,Crizia,Filosofia,da comprare,,,,,,,,,,
351-347 a.C.,Platone,Leggi,Filosofia,Non-letto,,,,,,,,,,
possibile IV secolo a.C.),Platone,Lettere,Filosofia,da comprare,BUR (1986),,,,,,,,,
"tra la fine del IV secolo a.C. e l'inizio del III secolo a.C., forse dopo il 347 a.C.",Platone,Teagete,Filosofia,da comprare,Bompiani (2015),,,,,,,,,
387-380 a.C.,Platone,Ipparco,Filosofia,da comprare,Bompiani (2015),,,,,,,,,
390-380 a.C.,Platone,Alcibiade I,Filosofia,da comprare,Bompiani (2015),,,,,,,,,
380-370 a.C.,Platone,Alcibiade II,Filosofia,da comprare,Bompiani (2015),,,,,,,,,
380-370 a.C.,Platone,Clitofonte,Filosofia,da comprare,,,,,,,,,,
355-347 a.C.),Platone,Minosse,Filosofia,da comprare,,,,,,,,,,
possibile composizione dopo il 347 a.C.,Platone,Epinomide,Filosofia,da comprare,,,,,,,,,,
IV secolo a.C.,Platone,Erissia,Filosofia,da comprare,,,,,,,,,,
,,,,,,,,,,,,,,
370 a.C.,Senofonte,Anabasi,,da comprare,BUR,,,,,,,,,
360 a.C.,Senofonte,Elleniche,,da comprare,BUR,,,,,,,,,
360–350 a.C.,Senofonte,Ciropedia,,da comprare,BUR,,,,,,,,,
360–355 a.C.,Senofonte,Agesilao,,da comprare,Mondadori,,,,,,,,,
355 a.C.,Senofonte,Costituzione degli Spartani,,da comprare,Mondadori,,,,,,,,,
355 a.C.,Senofonte,Memorabili,,da comprare,BUR,,,,,,,,,
355 a.C.,Senofonte,Apologia di Socrate,,da comprare,,,,,,,,,,
355–350 a.C.,Senofonte,Economico,,da comprare,BUR,,,,,,,,,
355–350 a.C.,Senofonte,Simposio,,da comprare,,,,,,,,,,
354–353 a.C.,Senofonte,Gerone (Il Tiranno),,da comprare,,,,,,,,,,
350 a.C.,Senofonte,Ipparchico,,da comprare,,,,,,,,,,
350 a.C.,Senofonte,La Cavalleria,,da comprare,,,,,,,,,,
350 a.C.,Senofonte,Costituzione degli Ateniesi,,da comprare,,,,,,,,,,
